course_name,course_code,description,learning_objectives,level,faculty,url
Concrete Structures,CIEM5230,"Concrete is the worlds mostly used construction material. The module Concrete Structures offers a comprehensive cluster of courses that, through the application of existing knowledge and insights in new scientific developments, prepares students for the current and future challenges of society relating concrete structures. Various sectors of Civil Engineering and the entire life-span of concrete structures are covered: from the understanding and design of concrete material, the advanced modelling of concrete members taking into account the unique behaviour of concrete, to the design, maintenance of complex concrete structures, such and concrete bridges.

The course will include 5 units, namely:

B3-1: Advanced modelling of concrete structures.

B3-2: Concrete science and technology.

B3-3: Numerical modelling of concrete structures.

B3-4: Concrete structures under special loadings.

B3-5: Concrete bridges.

On completion of this module, the student will be able to: 1. Design concrete structures and members using plasticity theory and fracture mechanics for concrete. 2. Explain and design cement-based building materials and the advanced concrete mixture design methodology, further apply to design, control, and execute durable and sustainable concrete in practice. 3. Create, carry out, interpret, and document nonlinear finite element analysis of reinforced concrete structures or elements. 4. Model the behaviour of concrete members and structures subject to various environmental and anthropogenic loads, and to create appropriate design accordingly. 5. Design and assess precast and cast-in-situ concrete bridges and bridge elements considering the construction methods and the loading conditions.","A breakdown of the learning objectives in each unit given in the course is explained as following:

B3-1: 1. Interpreted simplified theoretical models with limit state theorems of the theory of plasticity 2. Design and assess various structural types using limit analyses, the types of structures include beam, wall, slabs, and joints. 3. Point out the fracture process of concrete and its difference between linear elastic fracture mechanics. 4. Outline the influence of the local fracture process of concrete on the global structural behaviour in terms of fatigue behaviour, shear and punching shear behaviour, etc.

B3-2: 1. Outline the fundamentals of concrete materials 2. Explain the mechanisms and the chemical process relate to the strength development and the resultant mechanical properties 3. Control volume change during the hardening process 4. Design concrete mixture and advise corresponding execution methodology.

B3-3: 1. Create appropriate finite element models for reinforced concrete structures or elements 2. Interpret nonlinear finite element analysis results 3. Explain how to account for uncertainties when using finite element analysis 4. Compile adequate finite element analysis reports.

B3-4: 1. Explain the behaviour of concrete structures under temperature effects in the early stage of hardening and hardened concrete, including (technological and structural) measures to influence this behaviour. 2. DIscuss the difference between structural response under external loads and imposed deformations, and design concrete structures subjected to imposed deformations. 3. Design and execution of storage systems and reservoirs in reinforced and prestressed concrete, focusing on tightness criteria. 4. Design of concrete protective structures under extreme loads, e.g. impact, blast, fire, cryogenic loads. 5. Design concrete structures for cyclic loading with various amplitude and duration such as seismic loading and fatigue loading. 6. Outline the main environmental loads and possible deteriorations of concrete structures.

B3-5: 1. Outline the considerations of designing a concrete bridge in the Netherlands. 2. Evaluate the advantages and disadvantages between different construction methods (cast in situ) and able to explain the relationship between the construction method and the alignment of the reinforcement and/or prestressing cables. 3. Apply the different traffic load models specified in the Eurocode. 4. Apply the methods of load distribution. 5. Evaluate the different alternatives and analyse and calculate roughly the main dimensions of the bridge. 6. Choose the different types of bearings and expansion jointsen#8239;properly.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18803
Steel and Composite Structures,CIEM5240-24,"The module consists of 3 parallel units.
Unit 1 provides in-depth knowledge on how to design, model, analyse and critically assess results of prediction models of structural members and joints. The principles and theory of using experiments and reliability-based assisted design and verification of Steel and Composite Structures (SCS) and connections are explained and practised for monotonic and cyclic loading.
Unit 2 and Unit 3 will allow students to apply and extend their knowledge from Unit 1 in real case structures, such as bridges, support structures for renewable energy, lightweight FRP structures, cold-formed steel members, etc.


The learning line on Modelling, Data management and sensing, risk analysis is continued from the MUDE and Track base module.
Students will have the opportunity to participate in monitoring and sensing lab (or virtual) experiments during the module and evaluate data.


Ethics related to the design and reporting, construction, ownership and decommissioning of steel and composite structures are discussed throughout the module. Circumstances which lead to a collapse of structures will be discussed from (un)ethical behaviour of partners in a project. The balance between economy-safety-sustainability of construction work will be addressed, showing future engineers' responsibility.


B4 Unit 1: Fatigue and FEA of steel and FRP composite structures
Fatigue and fracture; Design and verification of steel structures and connections exposed to cyclic loading; use of FE analysis in fatigue assessment; Fatigue life prediction based on fracture mechanics; Modelling of Steel and Composite structures and design by experiments; non-linear material modelling of steel and anisotropic and layered modelling of FRP structures;

B4 Unit 2: Steel bridges and wind turbine support structures
Steel and hybrid bridges - Structural design of steel bridges - Bridge loads, traffic accounting and analysis - Design verifications of steel bridge elements - Advanced bridge analysis - Execution and details of steel bridges - Renovation and maintenance of steel bridges: Supporting structures for renewable energy - Hollow section steel joints in jacket/truss structures- Monopile supporting structures for wind turbines and connections.

B4 Unit 3: FRP composites and lightweight steel structures
Design, analysis and verification of FRP composite structures joints and details; Design and verification of lightweight, slender and cold-formed steel structures .","LO1: Create, carry out, interpret, and document modelling of steel structures of bridges, buildings and structures for renewable energy by linear and nonlinear finite element analysis of steel, composite and FRP members and connections/joints.

LO2: Design and interpret uncertainty in laboratory experiments: set-up, loading, and data collection and sensing equipment (LVDT:s, strain gauges, DIC, optical fibres….) to explain effects of load transfer, failure modes interactions, local stresses and local buckling in structural members to improve engineering methods used for the design verifications. 

LO3: Apply theoretical background to create engineering models used for design verifications of members and connections/joints of steel, composite and FRP structures exposed to monotonic, cyclic and impact loading. 

LO4: Relate laboratory experiments and the engineering practice to the theoretical/engineering models for execution of steel, FRP composite and hybrid structures (steel combined with concrete, FRP, bio-based material, etc.). 

LO5: Justify the use of a prediction method and uncertainties (geometrical imperfections and residual stresses) by interpretation of laboratory and in-situ condition measurements to perform static, dynamic, fatigue and fracture analysis. 

LO6: Design durable, sustainable steel, composite, FRP and hybrid structural systems of bridges, buildings and structures for renewable energy in new build and renovation projects, including interaction between the structure and foundation in close cooperation with a geo-engineer.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18804
Building Engineering,CIEM5250,"This module will focus on the engineering of buildings as complex systems in which many facets need to be aligned in an integrated interdisciplinary design process. From an economy point of view, a share of about 70% of construction industry is involved with buildings, which makes this module very relevant for future civil engineers. The module content is grouped in three learning units:

LEARNING UNIT 1 (LU1, Architecture, Building Physics and Façades, 4 EC) will provide you with the specific building-related background knowledge that is not directly structural engineering:

contemporary and 19th century architectural styles

façade design/detailing

basics of building physics (heat transport, energy efficiency, daylight, solar shading)

building services (heating, ventilation, air-conditioning, vertical transport, water).

LEARNING UNIT 2 (LU2, Building Structures, Construction Methods and Foundations, 6 EC) is about the flow of forces in regular building structures and stability in various typologies of buildings (office, commercial, industrial, residential, etc.). Unit 2 is grouped around the following three themes:

Theme 1 (Building Structures):

advanced knowledge on the flow of forces in building structures

stability and lateral resistance and known solutions for various typologies of buildings according to their function (office, commercial, industrial, residential)

use and reuse of various building materials, to give you a clear understanding on which options are available and which solutions are appropriate for every part of the new or existing building structure

complexity of the design process and responsibilities of different partners in the design and construction chain

Theme 2 (Foundations):

Interaction with the subsoil via the foundation is an important part of the building design, and you will learn how to develop a good foundation in cooperation with the geotechnical advisor.

attention will also be paid to deep excavations, that are often required for foundation and parking garages or other underground spaces under a building.

Theme 3 (Construction methods):

The design of the building is depending on available construction methods, and by studying these, you will get a clear understanding of the limitations and options each of these methods offer.

Impact on surroundings and urban context will be addressed, as well as safety of construction, economy and material efficiency (zero-waste) on the construction site.

LEARNING UNIT 3 (LU3, Design of Spatial Structures, 5 EC) is an advanced unit in the field of special and spatial building structures, their design process, structural mechanics, structural behaviour and performance, computational modelling, combined with practical use of design- and analysis tools for structural engineering. Topics include

structures in nature

biomimetics

plates, shells and vaults

membrane and pneumatic structures

cable-nets

tensegrity structures

(space) frames

grid(shell) structures and domes

adaptive and deployable structures.

Whereas Learning Unit 2 will focus on more regular building types, Learning Unit 3 broadens the scope with an extensive introduction into complex geometries and typologies. Apart from design skills, also academic skills will be trained during this unit since the unit includes a mini conference, including the writing and presentation of scientific papers.

Working on an integrating design exercise of a realistic building that connects all three learning units, you will experience the consequences (limitations, options and uncertainties) of available design and construction methods. During the exercise, you will receive feedback from professional building engineers.","On completion of this module, you will be able to:

recognise and discuss architectural styles and construction methods of the 19th, 20th and 21st century;

distinguish façade typologies and use those in design, while correctly applying basic laws of building physics in the design evaluation to meet relevant criteria for climate, energy-efficiency and durability, taking into account material properties, climate data and user behaviour;

discuss the relationship and integration between design of load bearing structure, façade structure and other relevant parts/aspects of the building, such as services, vertical transport, plumbing, climate, ducts;

analyse whether reuse of existing structures or structural components in a project is economically and technically feasible and, where it is, reuse such existing building structures in the design of the newly developed building, correctly assessing the reliability of the existing structure or components based on measurements or probabilistic reasoning;

correctly identify functional, structural and construction requirements and loads for low-rise and multi-storey buildings with different targeted functions;

explain and apply, in the context of a design, the most important typologies and stability systems of low-rise and multi-storey buildings, using different construction materials, and being able to model and simulate the behaviour of such systems with existing FEM software;

develop, analyse and evaluate various reliable solutions for building foundations and deep basements in close cooperation with a geoengineer, considering the close interaction between structure and foundation, recognising and limiting risks of uncertain underground soil conditions, surveying and foundation methods;

explain how a building design can be constructed in an economic, safe and practical manner, acknowledging what the consequences and risks of construction methods are for the design and vice versa, and acting as a structural engineer with a professional, responsible and ethical attitude;

Design spatial structures (such as domes, (grid)shells, inflatables and membrane structures, space frames, cable systems and tensegrity structures), analyse and explain their 3D structural action;

Use advanced design tools, numerical analysis tools, and physical models to analyse and visualise 3D structural behaviour.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18805
Transportation Infrastructures,CIEM5260,"This module provides knowledge on modern tools for design, assessment, performance prediction and optimisation of engineering structures in application to transportation infrastructures, such as roads, railways, bridges, and tunnels. In this process, the entire design-construction-service cycle will be considered.

The analysis of structural behaviour commences with defining the loading conditions. Therefore, the dynamic interactions of road/track/bridge/tunnel and moving vehicles will be introduced first. The students will learn how to numerically analyse such interactions and their consequences like rutting, vibrations and noise.

The methods for analysis of the long-term behaviour of engineering structures, including wear, (rolling contact) fatigue damage, etc., will be considered as well. Additionally, the students will learn how to apply the structural reliability methods to account for the uncertainties of real life, even including the effects of the weather.

The module also focuses on critical issues related to the aging of transportation infrastructures. Topics will cover aspects of material and structural degradation due to increased dynamic loading, environmental factors, and climate change effects, and familiarize with tools to assess and predict structural durability. The use of innovative materials to enhance the performance and durability of transportation infrastructures will be also discussed.

The students will get acquainted with modern general-purpose finite element software: ANSYS, ABAQUS, PLAXIS, Discrete element methods, etc., as well as with some dedicated design software, and will use these tools to assess structural behaviour at multi-scale level.

To assure the long-term safe performance, the methods of condition monitoring of engineering structures in application to transportation infrastructures will be studied. Several non-destructive testing (NDT) technologies like Digital Image Correlation (DIC), laser scanning, and satellite data used to assess the performance and condition of infrastructure will be covered. Examples of monitoring solutions using static, moving, and crowd sensing technologies will be analysed. Application of the NDT methods for parameter identification of the numerical models will be considered as well. Combined with state-of-the-art data-analysis methods and machine learning, the monitoring information will turn into maintenance strategies.

In this module we organise excursions to companies to discuss their engineering approaches for integral design for transportation infrastructures. All knowledge will be applied to real-life case studies to be performed in close collaboration with manufacturers and engineering companies. All these will serve as preparation for MSc theses.","On successful completion of this module, the student will be able to:

B6-LO1: Analyse the design-construction-service cycle of transportation infrastructures (SE2, SE3, SE5).

B6-LO2: Evaluate state-of-the-art construction processes and techniques for transportation infrastructures (SE2, SE7).

B6-LO3: Evaluate transportation infrastructures modelling and design solutions, considering the effects of the inherent dynamics, operational conditions, and relevant sources of uncertainties (SE1, SE4).

B6-LO4: Propose physics-based and data-based monitoring and maintenance solutions for transportation infrastructures (SE6, SE8).

B6-LO5: Create innovative and ethical solutions and compare results with the state-of-the-art knowledge in real-life challenges from selected case studies from the industry (SE7, SE8).

B6-LO6: Practice and further develop effective communication skills (both written and oral) to ethically share results and opinions with peers, engineers, academics, and stakeholders from the transportation infrastructure industry (SE9).

B6-LO7: Provide constructive feedback, resolve possible conflicts in diverse teams, and ethically tackle critical transportation infrastructure challenges (SE9).

B6-1:

After completing this unit, the students will be able to: B6.1-LO1 Analyse and evaluate methods for the construction process of transportation infrastructures. B6.1-LO2 Evaluate design aspects and procedures for transportation infrastructures. B6.1-LO3 Explain the capabilities of different design methods and solutions under different parameters, variations, and uncertainties in properties and loading patterns. B6.1-LO4 Select and apply design methods, and propose improvements in the construction and design of transportation infrastructures by tackling real-life case studies from the transportation industry. B6.1-LO5 Evaluate current practices of maintenance in the transportation infrastructure industry. B6.1-LO6 Ethically and effectively discuss and analyze results with main stakeholders.

B6-2:

After completing this unit, the students will be able to: B6.2-LO1 Evaluate the most important dynamics and operational conditions of existing transportation infrastructures. B6.2-LO2 Explain degradation mechanisms that can affect transportation infrastructures during their whole life cycle. B6.2-LO3 Assess the performance over time of transportation infrastructures, considering both dynamics and the influence of degradation mechanism. B6.2-LO4 Select and apply methodologies to estimate the remaining lifetime of existing transportation infrastructures. B6.2-LO5 Discuss and present results to different stakeholders effectively and ethically.

B6-3:

After completing this unit, the students will be able to: B6.3-LO1 Implement state-of-the-art monitoring solutions for transportation infrastructures. B6.3-LO2 Evaluate current practices of maintenance in the transportation infrastructure industry. B6.3-LO3 Design intelligent condition-based maintenance strategies including both physics and data-based characteristics of transportation infrastructures. B6.3-LO4 Assess the performance of transportation infrastructures over their whole life-cycle, including sustainability aspects. B6.3-LO5 Effectively and ethically present results and discuss their advantages and disadvantages to different stakeholders.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18806
Shell Structures,CIEM5301,"This course covers analytical and numerical methods for analysing shell structures. The following is an overview of the key terms that will be further explored within this course:

Sagitta, a/t Ratio, Corbel dome, Arches, Catenary, Pressure lines, Middle third rule, Optimal arch shape, Barlow's formula, Thin or thick shells, Section forces and moments, Force flow in a dome, Edge disturbance, Comparison of moments in arches and domes, Optimal dome shape, Curvature, Gaussian curvature and mean curvature, Orthogonal parameterisation, Curvilinear coordinate system, Lame parameters, Equations of Gauss and Codazzi, In plane curvature, Shell membrane equations, Membrane forces in a spherical dome, Derivation of the membrane equations, Stresses in a simply supported tube, Comparison to a beam model, Bernoulli's hypothesis, Deformation of a simply supported tube, Misfit at the boundaries, Tube edge disturbance, Sanders-Koiter equations, Compatibility equation, Shell differential equations, Plate boundary conditions, Edge shear stresses, In plane shear forces, Derivation of Sander-Koiter equation 6, Shell boundary conditions, Dependent quantities, Generalised edge disturbance, Beam supported by springs, Influence length, Shell finite element types, Nodes and integration points, Mesh locking and hourglass modes, Benchmarks, Model size restrictions, Finite element analysis of a 4-hypar shell, Interpreting shell finite element results, Hypar curvature, Reinforcement, Particle-spring method, Timber grid shells, In-extensional deformation, Theorema egregium, Gauß-Bonnet theorem, Formulas for point loads, Trajectories, Umbilical patterns, Finite element analysis of a conoid, Natural frequencies, Linear buckling analysis, Non-linear analysis, Cylinder buckling shapes, Differential equation for shell buckling, Buckling load factor, Design check of buckling, Imperfection sensitivity, Exceptions to imperfection sensitivity, Koiter's law, Knock down factor, Linear buckling analysis, Nonlinear finite element analysis, Measuring shape imperfections, Stiffeners, Modal analysis, Rigid body modes, Equation of motion, Wave numbers, Vibration of hemispheres, spheres and cylinders, Natural frequency of a square shell, Measuring vibrations, Transient analysis, Damping ratio, Partial safety factors, Computation of failure probability, Acceptable failure probability, Many examples of remarkable shell structures.","On completion of this module:

you can explain the force flow in shell structures [Civil Engineering MSc ILO 1].

you can manually calculate stresses, deformations, buckling loads and natural frequencies of elementary shell shapes [2];

you can explain the scientific approach to deriving and solving the governing differential equations and boundary conditions [2, 8];

you can perform finite element analyses of shell structures. This includes linear analysis, vibration analysis, linear buckling analysis and nonlinear buckling analysis [2].

you can interpret and verify the finite element results [4].

you can answer the following questions about your shell designs: Will it deflect too much? Will it yield? Will it crack or break? Will it vibrate annoyingly? Will it buckle? Will it be unsafe? What causes this and how can I improve it? [1, 2, 4, 10]",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18829
CO2 Neutral Structures,CIEM5304,"The module consists of three parts.

The introductory part will be provided by responsible instructors covering various structural expertise focusing on sustainability aspects of the built environment in which load bearing structure is made of concrete, steel, timber or as hybrid system (steel, biobased, concrete). Different views on interpreting basic terms used in policy documents and literature relevant to CO2-neutral structures/built environments will be discussed.

In the second part, case studies of flagship projects in terms of CO2-neutral structures will be presented by architects and engineers from industry and related disciplines.

In the third part of the module, students (in a group of max 4 students) will select one of the presented case studies and provide an alternative solution with the intention to improve solution addressing weaknesses of the presented solutions with a focus on CO2 neutrality.","On completion of this module, the student will be able to:

Critically assess and apply civil engineering technical process of generating and evaluating alternatives in a complex natural and societal environment [ILO 4].

Design, verify, detail, manage, assess, and decommission new and existing buildings, structures and infrastructure, whilst observing functional, economic, ethical, social and sustainability constraints [ILO 1,4,5,8].

Design potential routes for prefabrication, modular construction, recycling and reusing of building components [ILO 7]

Develop strategies for sustainable use of materials in structures with the goal of zero or negative CO2 balance [ILO 8]",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18830
Fire Safety Design,CIEM5305,"The course will contain classroom lectures to explain the aspects that have to be regarded to make a fire safe design.

The content will be delivered by experts on construction materials form TU Delft and experts from industry on fire physics, fire testing, fire safety measurements and fire safety engineers.

The content will address:

- Background of the fire safety regulations according to national and European laws.

- Introduction into fire physics. Standard and natural fire curves. Thermal loading. Theoretical and numerical methods to predict the fire development and temperature distribution in compartments.

- Explanation in the difference in Resistance to Fire and Reaction to fire, and testing methods to determine these properties.

- Smoke control and smoke propagation. Escape scenarios and human behaviour. ASET and RSET. Active and passive fire safety measurements.

- Response of construction materials steel, timber and concrete to thermal loading. Contribution of the construction material to the fire loading.

- Design and verification rules for construction materials steel, timber and fire under thermal loading.

- Fire Safety Engineering: Risk analysis to evaluate the effectiveness of fire safety measures.","Besides the verification of every structure for the Ultimate Limit State (ULS) and Serviceability Limit State (SLS), it also has to be assessed for the accidental load case fire. This load case can be governing in the design, therefore every engineer should have knowledge how to handle the load case fire and how to verify a structure based on the material response on the high occurring temperatures for the different construction materials steel, timber and concrete.

On successful completion of this module, the student will be able to:

Explain the fire physics with respect to the initation and development of a fire in structures. [ILO 1,4]

To predict the temperature development of a compartment subjected to fire loading (ILO4)

Explain the behaviour of materials and structures under fire loading.(ILO 1,7)

apply the background of the fire safety regulations on national and European level.(ILO 3)

To identify active and passive fire safety measures and how they influence the safety of the structure.(LO 7)

To apply the design and verification rules for structural safety under fire conditions for the construction materials steel, timber and concrete, and their contribution to the fire load. (ILO 1,3,9)",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18831
Assessment of Existing Concrete Structures,CIEM5306,"In many countries the originally devised design life of a substantial part of the existing buildings and infrastructure has been reached or will be reached soon. These structures need to be assessed. Most often, existing structures are verified using simplified procedures based on the partial factor method which is commonly applied in design of new structures. Such assessments are often conservative and may lead to expensive renovation or unnecessary replacements of structures.

Recently, the engineering practice and the research community started to acknowledge that an assessment of existing structures is fundamentally different from designing new structures. For existing structures, it pays off to consider more advanced load and capacity models, as well as the overall structural behaviour, and to align the reliability assessment of concrete structures with all the information we have.

The result of the underlying reliability considerations is a different set of load factors for assessment, as well as a philosophy of increasing levels of approximation for assessment. More advanced models are then referred to as models with higher levels of approximation. In this elective you will learn about these types of models and associated considerations.

On the one hand we have more information about an existing concrete structure than we have for a structure which is still in the design process. E.g., the structure has shown a certain capacity over its lifetime, we have more knowledge about the loading, or we have knowledge about the actual concrete strength properties. Monitoring data and results from proof test might further contribute to the knowledge of a structure. We also must deal with higher uncertainty. E.g., corrosion levels might be unknown, and the structural behaviour of structural vintage details might be hard to quantify. A proper assessment should take all this information into account.

This elective will address the following topics:

evolution of design codes and practices,

assessment at various levels of approximation, and the link to reliability-based safety philosophies,

modelling of the structures with vintage detailing (nonconforming design),

determination material properties and the deterioration condition of structures,

methodologies to deal with involved uncertainties,

field testing, and in particular bridge load testing,

assessment studies under multiple hazards, such as seismic action,

structural impact of deteriorating mechanisms,

global structural behaviour for assessment: transverse distribution, unintended composite action, contribution of non-structural components, 

decision-making strategies

The course material of the elective will be applicable to both concrete buildings and concrete infrastructures. Most applications will be shown for concrete bridges. Since the assessment of existing concrete structures is an active research field and since codes for existing concrete structures are far from mature, this course will be updated from year to year to follow the most recent state of the research and practice.

MUDE: The first lectures of this elective will focus on the topic of safety philosophy of existing concrete structures. The influence of various sources of uncertainty, with regard to the state of information and the degradation and deterioration, will also be discussed throughout this elective.

Ethics: A discussion on the choices of the target reliability for concrete structures at different stages, namely, design, assessment, renovation is given. It will be made clear that such choice is not based on numbers but also on the ethics considerations. The topic of decision-making strategies for the assessment of existing structures will include the ethical considerations involved with this process.

Design skills: This elective will lean on general design skills of structural engineering students, which can then be applied for the analysis of existing concrete structures.","At the end of this course, you will be able to:

Describe and explain the safety philosophy of existing concrete structures [ILO 3]

Evaluate the capacity of existing concrete structures with and without deterioration [ILO 4]

Exemplify the evolution of concrete codes and design practices and its impact on assessment [ILO 1,4]

Apply decision-making strategies for the assessment of existing bridges [ILO 5,7,10]

Appraise available test methods that can provide additional information of the structure (material properties, boundary conditions, or the bearing capacity, etc.) [ILO 5,10]",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18832
Forensic Structural Engineering,CIEM5307,"This course partially consists of theory on structural damage, failure mechanisms, investigation methods and instruments, and legal aspects. The other part consists of cases to illustrate these aspects.

Theory:

Structural damage: what is damage? Various types of failure mechanisms. Performance criteria and codes. How often does failure occur? What are technical causes? What are human and organisational causes?

Legal aspects: liability, Insurance, Court, expert witnesses

Delft Method for Forensic Investigations: steps of investigations, life cycle, Tree House of Failures, Ring of Trustworthiness

Instruments for investigation: for example microscopy

Damage in foundations and retaining structures: e.g. deterioration of timber piles, unequal settlements, failures related to deep excavations and retaining structures

Cases with for example the following types of damage:

Damage in concrete: e.g. temporary structures, reinforcement in ridges

Damage in steel: e.g. connections and instability

Damage in timber: e.g. connections

Damage in finishing structures: e.g. leakage and connections

Damage in foundations: e.g. deterioration of timber piles, unequal settlements, building pits","On completion of this module, the student will be able to:

Explain various types of (structural) failures and failure mechanisms in steel, timber, concrete, and masonry structures, finishing structures, and foundations.

Identify the role of human and organisational factors as contributing or underlying factors to failure.

Point out legal aspects that are important for liability after occurrence of damage.

Explain the Delft Method for Forensic Investigations and possible instruments for forensic investigations. Assess the usefulness of application of various instruments.

Apply the various steps of Delft Method for Forensic Investigations in a forensic investigation process.

Develop design measures to deal with important failure mechanisms.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18833
Parametric Design and Digital Fabrication,CIEM5308,"Parametric Design and Digital Fabrication will provide you with skills and (deepened) knowledge of using computational techniques in the design process within the paradigm of parametric design.

This will be taught through tools as they are currently implemented in modern software. This includes 3D modelling (e.g. Rhinoceros 3D coupled with visual programming plugins such as Grasshopper 3D) and coding (e.g. Python and COMPAS).

We will be looking at principles of designing efficient structural forms using form-finding techniques and informed by fabrication constraints. To this end, relevant digital fabrication methods for construction will be explored using computational pipelines for production using available CNC tools (e.g. 3D printing, laser cutting, CNC knitting etc).

This elective will offer you powerful toolsets to work on geometry modelling, optimisation, and evaluation of performance in structural design, as well as the natural extension of parametric models towards digital fabrication.

These skills will be directly applied in an integrated building design and manufacturing exercise/assignment carried out in groups. The module will be taught and co-taught by experts from both TU Delft, other international research institutions, and industry who have detailed knowledge of emerging research fields as well as current practice.","On completion of this module, the student will be able to:

Translate architectural or structural geometry into an accurate and systematic (parametric) model [ILO 1,2,3]

Effectively analyse and optimise design problems and geometrical non-standard structures taking fabrication constraints into account [ILO 3,4,8]

Design multiple alternatives for a structure and identifying the most suitable solution from an integrated and inter-disciplinary perspective [ILO 7,8].

Manufacture a (scaled) structure or building using (available) digital fabrication methods [ILO 7,8].",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18834
Advanced Building Physics,CIEM5309,"The module consists of:

Theory of heat, air and moisture (HAM) transfer in buildings and construction materials

Convective, radiative and conductive heat transfer

Dynamic thermal models

Basic numerical approach for heat transfer modelling

Natural ventilation and infiltration

Convective and diffusive moisture transfer

Moisture storage in materials

Basic numerical approach for moisture transfer modelling

Indoor thermal quality

Theory of room acoustics and sound absorption:

Room acoustics

reverberation time

energy balance of a room

influence of sound absorption

sound pressure level inside

indoor acoustical quality

Sound absorption:

porous absorbers

panel absorbers

Helmholtz absorbers

quarter wave pipes

Sound simulations:

geometrical acoustics

Image Source Modelling

Ray tracing

Theory of lighting

daylight and solar radiation properties (units, instruments, spectra, etc)

electric lighting types and properties (CCT, luminous efficacy, etc)

solar exposure studies, effectiveness of PV, urban farming

blinds and effective sun shading, complex fenestration systems

static and dynamic simulation methods and metrics (Daylight Factor, Climate-Based Daylight Modelling and related metrics)

non-visual effects of light on health and wellbeing

indoor visual quality and glare assessments

Theory of computational fluid dynamics

Reynolds dependence

Mesh dependence

Effect of surface to surface radiation

Hvac translation concepts

Convection and prism layers

Study assignments (choose 2 topics out of 4):

Heat, air and mass transfer assignment

You will analyse a problem in the area of building physics related to the heat/air/moisture (HAM) quality of a building component, installation, room or building. Matlab/Simulink will be used to solve the problem.

Acoustics assignment

You will analyse a problem in the area of building physics related to the acoustical quality of a building room. State-of-the-art modelling software will be used and possibly measurements will be carried out for comparison with modelling results.

Advanced light analysis

You will analyse a realistic design problem related to daylight, or solar radiation, using advanced simulation software (e.g. Radiance, Ladybug)

Computational fluid dynamics

The learned theory of conjugate convective heat transfer will be applied by performing an indoor thermal comfort study involving solar radiation through windows. You will analyse the sensitivity of the results to the meshing and used boundary conditions.","On completion of this module, the student will be able to;

Theory of heat, air and moisture (HAM) transfer in buildings [ILO 2,9]

explain theory on indoor thermal quality

estimate and model surface heat transfer due to convection and radiation for various geometries and circumstances.

calculate natural ventilation flows of simple geometries.

apply analytical and simplified numerical methods to solve time-dependent building related heat, air and moisture transfer problems

effectively and clearly communicate and present the outcomes of the assignment

Theory of room acoustics: [ILO 2,9]

predict the acoustical quality of a (simple) room, and what type of absorbers best to be used;

Effectively and clearly communicate and present the outcomes of the assignment

Theory of lighting: [ILO 2,9]

assess the daylight performance of a room with both static (Daylight Factor, point-in-time illuminance) and dynamic (CBDM) methods

estimate the solar radiation received on a building facade and/or roof with simplified numerical methods, and consequently take appropriate design decisions about windows, shading and PV elements

apply analytical methods to size the electric lighting system required to meet task illuminance levels in a simple room

Effectively and clearly communicate and present the outcomes of the assignment

Critically use advanced software to either [ILO 2,7]

apply a numerical method for solving (time-dependent) heat and mass transfer

carry out and acoustical quality analysis.

analyse a realistic design problem related to daylight, artificial light or solar radiation

Theory of computational fluid dynamics

grasp key understanding on the field of CFD

know the importance of the numerical, physical and geometrical relation in order to capture the correct modelled physics

perform a sensitivity analysis

perform conjugate convective heat transfer analysis",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18835
