course_name,course_code,level,faculty,url,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17
Structure and Properties of Materials,4052STEVM,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statistical Thermodynamics / Spectroscopy,4052STTS6,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theoretical Chemistry,4052THECH,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linear Analysis,4082LINAN,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Quantum Algorithms,4343APQAL,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Machine Learning,4343INTML,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Dynamical Systems,4373INTDS,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representation Theory,4373REPTH,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computational Physics A,4403CMPHAY,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computational Physics B,4403CMPHBY,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Condensed Matter Physics,4403COPH6,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
