Field name,Course code///Vakcode,Course name///Vaknaam,Link,Sustainable course?///Duurzaam vak?,Level///Niveau,Faculty///Faculteit,SDGs///SDG's
FALSE,4403QFTH6Y,Quantum Field Theory,https://studiegids.tudelft.nl/courses/study-guide/educations/23946,No,MSc,External institution,[]
FALSE,4403QOPT6,Quantum Optics,https://studiegids.tudelft.nl/courses/study-guide/educations/17362,No,MSc,External institution,[]
FALSE,4403QUTH6,Quantum Theory,https://studiegids.tudelft.nl/courses/study-guide/educations/17363,No,MSc,External institution,[]
FALSE,4403STPHAY,Statiscal Physics,https://studiegids.tudelft.nl/courses/study-guide/educations/17364,No,MSc,External institution,[]
FALSE,4403TCM06,Theory of Condensed Matter,https://studiegids.tudelft.nl/courses/study-guide/educations/3782,No,MSc,External institution,[]
FALSE,4403TGR64,Theory of General Relativity,https://studiegids.tudelft.nl/courses/study-guide/educations/23478,No,MSc,External institution,[]
TRUE,4413BYGR5,Beyond Growth,https://studiegids.tudelft.nl/courses/study-guide/educations/20247,Yes,MSc,"Technology, Policy and Management","[10, 12, 13]"
TRUE,4413CIRC5,Circular Economy,https://studiegids.tudelft.nl/courses/study-guide/educations/20252,Yes,MSc,"Technology, Policy and Management","[9, 12, 13]"
TRUE,4413EASYS,Earth System Science and Analysis,https://studiegids.tudelft.nl/courses/study-guide/educations/20236,Yes,MSc,"Technology, Policy and Management","[12, 13, 15]"
TRUE,4413EIOAT,Environmental Input-Output Analysis,https://studiegids.tudelft.nl/courses/study-guide/educations/20251,Yes,MSc,"Technology, Policy and Management","[9, 12, 13]"
TRUE,4413GIS20,GIS: Spatial analysis in urban regions,https://studiegids.tudelft.nl/courses/study-guide/educations/20246,Yes,MSc,"Technology, Policy and Management","[9, 11, 12, 13]"
FALSE,4413IECS2Y,Industrial Ecology Capita Selecta Module,https://studiegids.tudelft.nl/courses/study-guide/educations/21291,No,MSc,"Technology, Policy and Management",[]
FALSE,4413IECS3Y,Industrial Ecology Capita Selecta Module,https://studiegids.tudelft.nl/courses/study-guide/educations/21292,No,MSc,"Technology, Policy and Management",[]
FALSE,4413IECS4Y,Industrial Ecology Capita Selecta Module,https://studiegids.tudelft.nl/courses/study-guide/educations/21293,No,MSc,"Technology, Policy and Management",[]
